# File Name: Ruimin_qPCR.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 5 System
# Block Type: 384-Well Block
# Instrument Name: 272530695
# Instrument Serial Number: 272530695
# Heated Cover Serial Number: 
# Block serial number: 
# Run Start Date/Time: 2023-12-21 12:31:53 AM UTC
# Run End Data/Time: 2023-12-21 02:17:41 AM UTC
# Run Duration: 105 minutes 48 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-02-13 04:28:30 AM UTC
# Software Name and Version: Design & Analysis Software v2.7.0
# Plugin Name and Version: Primary Analysis v1.8.0, Relative Quantification v1.6.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported By: guest
# Exported On: 2024-02-13 04:29:01 AM UTC
"Well","Well Position","Reading Number","Target","Temperature","Fluorescence","Derivative"
"1","A1","1","RPLP2","60.00040054321289","912036.125","17483.849609375"
"1","A1","2","RPLP2","60.22541046142578","910453.875","18037.05859375"
"1","A1","3","RPLP2","60.45042419433594","907225.25","18483.279296875"
"1","A1","4","RPLP2","60.67543411254883","899163.25","18762.349609375"
"1","A1","5","RPLP2","60.90044403076172","894669.625","18895.44140625"
"1","A1","6","RPLP2","61.12545394897461","891180.1875","18966.501953125"
"1","A1","7","RPLP2","61.350467681884766","886535.625","19060.296875"
"1","A1","8","RPLP2","61.575477600097656","885965.625","19210.05078125"
"1","A1","9","RPLP2","61.80048751831055","878612.4375","19391.59765625"
"1","A1","10","RPLP2","62.02549743652344","871456.3125","19565.99609375"
"1","A1","11","RPLP2","62.250511169433594","868202.75","19727.501953125"
"1","A1","12","RPLP2","62.475521087646484","865424.0625","19918.25390625"
"1","A1","13","RPLP2","62.700531005859375","858605.125","20201.759765625"
"1","A1","14","RPLP2","62.92554473876953","854271.8125","20612.421875"
"1","A1","15","RPLP2","63.15055465698242","850996.1875","21120.908203125"
"1","A1","16","RPLP2","63.37556457519531","847792.125","21634.548828125"
"1","A1","17","RPLP2","63.6005744934082","837844.8125","21952.849609375"
"1","A1","18","RPLP2","63.825584411621094","834548.25","22093.830078125"
"1","A1","19","RPLP2","64.05059814453125","828497.0625","22078.357421875"
"1","A1","20","RPLP2","64.27560424804688","821682.1875","21952.11328125"
"1","A1","21","RPLP2","64.50061798095703","818399.0625","21799.9765625"
"1","A1","22","RPLP2","64.72563171386719","812671.625","21697.23828125"
"1","A1","23","RPLP2","64.95063781738281","807872.3125","21750.630859375"
"1","A1","24","RPLP2","65.17565155029297","804445.75","21925.177734375"
"1","A1","25","RPLP2","65.40066528320312","797957.5625","22194.310546875"
"1","A1","26","RPLP2","65.62567138671875","793895.8125","22481.74609375"
"1","A1","27","RPLP2","65.8506851196289","787172.5","22706.12890625"
"1","A1","28","RPLP2","66.07569885253906","781240.5625","22810.376953125"
"1","A1","29","RPLP2","66.30070495605469","774607.9375","22778.904296875"
"1","A1","30","RPLP2","66.52571868896484","771672.6875","22637.341796875"
"1","A1","31","RPLP2","66.750732421875","764591.6875","22439.4609375"
"1","A1","32","RPLP2","66.97573852539062","759449.25","22248.291015625"
"1","A1","33","RPLP2","67.20075225830078","753651.0625","22118.08203125"
"1","A1","34","RPLP2","67.4257583618164","751584.0625","22080.564453125"
"1","A1","35","RPLP2","67.65077209472656","745504.25","22138.642578125"
"1","A1","36","RPLP2","67.87578582763672","737160.0","22266.46875"
"1","A1","37","RPLP2","68.10079193115234","735576.4375","22415.916015625"
"1","A1","38","RPLP2","68.3258056640625","728905.4375","22529.71875"
"1","A1","39","RPLP2","68.55081176757812","724577.6875","22560.576171875"
