# File Name: Ruimin_qPCR.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 5 System
# Block Type: 384-Well Block
# Instrument Name: 272530695
# Instrument Serial Number: 272530695
# Heated Cover Serial Number: 
# Block serial number: 
# Run Start Date/Time: 2023-12-21 12:31:53 AM UTC
# Run End Data/Time: 2023-12-21 02:17:41 AM UTC
# Run Duration: 105 minutes 48 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-02-13 04:28:30 AM UTC
# Software Name and Version: Design & Analysis Software v2.7.0
# Plugin Name and Version: Primary Analysis v1.8.0, Relative Quantification v1.6.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported By: guest
# Exported On: 2024-02-13 04:29:02 AM UTC
"Well","Well Position","Sample","Target","Tm","Melt Peak Height"
"1","A1","pRH106","RPLP2","82.8390121459961","113420.7109375"
"1","A1","pRH106","RPLP2","90.15187072753906","1842.650390625"
"1","A1","pRH106","RPLP2","66.18820190429688","22810.857421875"
"1","A1","pRH106","RPLP2","68.55081176757812","22560.576171875"
"1","A1","pRH106","RPLP2","63.93809127807617","22104.05859375"
"2","A2","pRH107","RPLP2","83.06401824951172","124240.34375"
"2","A2","pRH107","RPLP2","72.60101318359375","22528.42578125"
"2","A2","pRH107","RPLP2","69.22584533691406","22921.271484375"
"2","A2","pRH107","RPLP2","90.26437377929688","2226.8515625"
"2","A2","pRH107","RPLP2","62.58802795410156","20960.833984375"
"3","A3","pRH108","RPLP2","83.06401824951172","124465.5625"
"3","A3","pRH108","RPLP2","64.838134765625","24454.9765625"
"3","A3","pRH108","RPLP2","73.27604675292969","23581.4921875"
"3","A3","pRH108","RPLP2","69.3383560180664","24735.99609375"
"3","A3","pRH108","RPLP2","90.60188293457031","1310.4765625"
"4","A4","pRH112","RPLP2","83.06401824951172","118234.1328125"
"4","A4","pRH112","RPLP2","73.61356353759766","24486.287109375"
"4","A4","pRH112","RPLP2","64.95063781738281","25599.5859375"
"4","A4","pRH112","RPLP2","90.03936004638672","2151.4609375"
"4","A4","pRH112","RPLP2","69.22584533691406","25674.669921875"
"5","A5","pRH106_0.1","RPLP2","82.94889068603516","125450.6484375"
"5","A5","pRH106_0.1","RPLP2","71.6997299194336","25536.27734375"
"5","A5","pRH106_0.1","RPLP2","90.26084899902344","-27.630859375"
"5","A5","pRH106_0.1","RPLP2","87.67353820800781","-440.466796875"
"5","A5","pRH106_0.1","RPLP2","94.53553009033203","-2220.74609375"
"6","A6","pRH106_0.01","RPLP2","82.94889068603516","107865.140625"
"6","A6","pRH106_0.01","RPLP2","92.51068115234375","4069.3408203125"
"6","A6","pRH106_0.01","RPLP2","68.32498168945312","21455.869140625"
"6","A6","pRH106_0.01","RPLP2","79.12417602539062","22425.154296875"
"6","A6","pRH106_0.01","RPLP2","70.3498306274414","21250.7109375"
"7","A7","pRH106_0.001","RPLP2","82.94889068603516","104442.140625"
"7","A7","pRH106_0.001","RPLP2","91.04829406738281","2370.642578125"
"7","A7","pRH106_0.001","RPLP2","61.80046463012695","17734.548828125"
"7","A7","pRH106_0.001","RPLP2","73.27461242675781","19834.95703125"
"7","A7","pRH106_0.001","RPLP2","65.96265411376953","20261.87109375"
"8","A8","pRH106_0.0001","RPLP2","82.94889068603516","83729.71875"
"8","A8","pRH106_0.0001","RPLP2","92.51068115234375","-1054.4921875"
"8","A8","pRH106_0.0001","RPLP2","67.425048828125","19169.576171875"
"8","A8","pRH106_0.0001","RPLP2","62.025447845458984","15812.51953125"
"8","A8","pRH106_0.0001","RPLP2","77.99925994873047","19842.26171875"
"25","B1","pRH106","RPLP2","82.9515151977539","110512.125"
"25","B1","pRH106","RPLP2","90.60188293457031","405.05078125"
"25","B1","pRH106","RPLP2","78.56380462646484","23882.91015625"
"25","B1","pRH106","RPLP2","87.22672271728516","850.484375"
"25","B1","pRH106","RPLP2","71.58846282958984","21786.984375"
"26","B2","pRH107","RPLP2","83.06401824951172","129430.1328125"
"26","B2","pRH107","RPLP2","65.7381820678711","25091.73828125"
"26","B2","pRH107","RPLP2","73.27604675292969","24117.232421875"
"26","B2","pRH107","RPLP2","92.4019775390625","515.6953125"
"26","B2","pRH107","RPLP2","90.03936004638672","866.6328125"
"27","B3","pRH108","RPLP2","83.06401824951172","129778.546875"
"27","B3","pRH108","RPLP2","92.064453125","1111.35546875"
"27","B3","pRH108","RPLP2","66.52571868896484","27282.1875"
"27","B3","pRH108","RPLP2","63.038047790527344","25672.423828125"
"27","B3","pRH108","RPLP2","78.67630767822266","27564.92578125"
"28","B4","pRH112","RPLP2","83.06401824951172","125376.375"
"28","B4","pRH112","RPLP2","62.02549743652344","24748.572265625"
"28","B4","pRH112","RPLP2","66.63822174072266","26964.12109375"
"28","B4","pRH112","RPLP2","92.9645004272461","1258.98828125"
"28","B4","pRH112","RPLP2","71.25094604492188","25977.947265625"
"29","B5","pRH106_0.1","RPLP2","83.06138610839844","139736.484375"
"29","B5","pRH106_0.1","RPLP2","92.96064758300781","1169.82421875"
"29","B5","pRH106_0.1","RPLP2","67.53753662109375","27130.142578125"
"29","B5","pRH106_0.1","RPLP2","73.61209106445312","26311.3046875"
"29","B5","pRH106_0.1","RPLP2","70.68730163574219","26481.056640625"
"30","B6","pRH106_0.01","RPLP2","82.94889068603516","121995.171875"
"30","B6","pRH106_0.01","RPLP2","67.425048828125","26115.23828125"
"30","B6","pRH106_0.01","RPLP2","61.68797302246094","23228.7578125"
"30","B6","pRH106_0.01","RPLP2","88.01101684570312","1019.05078125"
"30","B6","pRH106_0.01","RPLP2","71.47474670410156","25615.998046875"
"31","B7","pRH106_0.001","RPLP2","83.06138610839844","127418.34375"
"31","B7","pRH106_0.001","RPLP2","90.0358657836914","1541.974609375"
