# File Name: Ruimin_qPCR.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 5 System
# Block Type: 384-Well Block
# Instrument Name: 272530695
# Instrument Serial Number: 272530695
# Heated Cover Serial Number: 
# Block serial number: 
# Run Start Date/Time: 2023-12-21 12:31:53 AM UTC
# Run End Data/Time: 2023-12-21 02:17:41 AM UTC
# Run Duration: 105 minutes 48 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-02-13 04:28:30 AM UTC
# Software Name and Version: Design & Analysis Software v2.7.0
# Plugin Name and Version: Primary Analysis v1.8.0, Relative Quantification v1.6.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported By: guest
# Exported On: 2024-02-13 04:29:02 AM UTC
"Sample","Target","Number of Replicates","Quantity","Number of Cqs","Cq Mean","Cq SD","Cq SE","Biogroup"
"pRH106","RBD","3","-","0","12.316352934228993","0.17743152443253335","0.1024401383938488",
"pRH106","RPLP2","3","-","0","15.42004704635294","0.013429615919054913","0.007753592365979637",
"pRH106","S2","3","-","0","13.07520757403053","0.08883405715059023","0.05128836680909987",
"pRH106","mCherry_1","3","-","0","","","",
"pRH106","mCherry_2","3","-","0","12.24819641390087","0.27575113616737973","0.15920499269558183",
"pRH107","RBD","3","-","0","12.646982526673858","0.06192522390250902","0.035752544689741435",
"pRH107","RPLP2","3","-","0","15.122933944932834","0.20847043326655124","0.12036046076452128",
"pRH107","S2","3","-","0","12.996247525650398","0.10850909196729241","0.06264775345683814",
"pRH107","mCherry_1","3","-","0","","","",
"pRH107","mCherry_2","3","-","0","12.405714839098318","0.28752655962549584","0.166003536598947",
"pRH108","RBD","3","-","0","12.742574036031963","0.03719767126906625","0.02147608552042261",
"pRH108","RPLP2","3","-","0","15.199290238854745","0.10824622549807537","0.062495987430074756",
"pRH108","S2","3","-","0","12.903344473976404","0.10703008860639075","0.0617938504682892",
"pRH108","mCherry_1","3","-","0","","","",
"pRH108","mCherry_2","3","-","0","12.405664563915275","0.12404209430520065","0.07161573653795254",
"pRH112","RBD","3","-","0","13.89286317206561","0.14061641240280492","0.08118492355323886",
"pRH112","RPLP2","3","-","0","15.41305661298332","0.11373498421426345","0.06566492375238285",
"pRH112","S2","3","-","0","14.003293932701027","0.14828882673481433","0.08561459403315884",
"pRH112","mCherry_1","3","-","0","","","",
"pRH112","mCherry_2","3","-","0","13.472207693456056","0.0884267192928655","0.05105319018729137",
"pRH106_0.0001","RBD","3","-","0","24.39393137662361","1.0960185437369885","0.6327866012633719",
"pRH106_0.1","RBD","3","-","0","15.424255391594116","0.0846639089163068","0.04888073060347569",
"pRH106_0.001","RBD","3","-","0","21.969950076869292","0.08503075277831564","0.04909252800595705",
"pRH106_0.01","RBD","3","-","0","18.953412281488355","0.03315561081735088","0.019142400830544002",
"pRH106_0.0001","RPLP2","3","-","0","28.59286835135394","0.22393256547275572","0.12928752695601903",
"pRH106_0.1","RPLP2","3","-","0","18.49721383927031","0.05027012957693249","0.029023472843439344",
"pRH106_0.001","RPLP2","3","-","0","25.126198655154194","0.17629276189105508","0.10178267353398325",
"pRH106_0.01","RPLP2","3","-","0","21.821828195273056","0.0770659495611448","0.044494046724481075",
"pRH106_0.0001","S2","3","-","0","23.521527579702475","2.3338552118905884","1.3474519348346423",
"pRH106_0.1","S2","3","-","0","15.982463843920291","0.06460268670282768","0.03729837855825062",
"pRH106_0.001","S2","3","-","0","22.690097742264317","0.23401185302326738","0.13510680633654656",
"pRH106_0.01","S2","3","-","0","19.34874581227574","0.20277171316205295","0.11707030317815285",
"pRH106_0.0001","mCherry_1","3","-","0","","","",
"pRH106_0.1","mCherry_1","3","-","0","","","",
"pRH106_0.001","mCherry_1","3","-","0","21.818545493541457","","",
"pRH106_0.01","mCherry_1","3","-","0","","","",
"pRH106_0.0001","mCherry_2","3","-","0","25.24127725533727","0.2174399938568946","0.12553903898586868",
"pRH106_0.1","mCherry_2","3","-","0","15.696523027011741","0.11750768211015084","0.06784309189814457",
"pRH106_0.001","mCherry_2","3","-","0","22.135530191343054","0.19997876811490395","0.11545779560334955",
"pRH106_0.01","mCherry_2","3","-","0","18.88871300798472","0.10818829500679504","0.062462541245339766",
