Sample,Target,Cq
pRH106,RPLP2,15.4068585
pRH107,RPLP2,15.03696803
pRH108,RPLP2,15.07796343
pRH112,RPLP2,15.30999324
pRH106_0.1,RPLP2,18.47989362
pRH106_0.01,RPLP2,21.75407505
pRH106_0.001,RPLP2,25.00426351
pRH106_0.0001,RPLP2,28.39453609
pRH106,RPLP2,15.41957724
pRH107,RPLP2,14.97119321
pRH108,RPLP2,15.28597477
pRH112,RPLP2,15.53508016
pRH106_0.1,RPLP2,18.55385409
pRH106_0.01,RPLP2,21.80574184
pRH106_0.001,RPLP2,25.04599965
pRH106_0.0001,RPLP2,28.54835417
pRH106,RPLP2,15.4337054
pRH107,RPLP2,15.3606406
pRH108,RPLP2,15.23393252
pRH112,RPLP2,15.39409644
pRH106_0.1,RPLP2,18.45789382
pRH106_0.01,RPLP2,21.9056677
pRH106_0.001,RPLP2,25.32833281
pRH106_0.0001,RPLP2,28.83571479
pRH106,RBD,12.18115576
pRH107,RBD,12.58365526
pRH108,RBD,12.70358745
pRH112,RBD,14.0548968
pRH106_0.1,RBD,15.35290631
pRH106_0.01,RBD,18.92719401
pRH106_0.001,RBD,21.95429762
pRH106_0.0001,RBD,24.98301446
pRH106,RBD,12.51726783
pRH107,RBD,12.64988897
pRH108,RBD,12.74645639
pRH112,RBD,13.80280186
pRH106_0.1,RBD,15.40205111
pRH106_0.01,RBD,18.94236058
pRH106_0.001,RBD,21.893833
pRH106_0.0001,RBD,25.06943751
pRH106,RBD,12.25063521
pRH107,RBD,12.70740335
pRH108,RBD,12.77767827
pRH112,RBD,13.82089086
pRH106_0.1,RBD,15.51780876
pRH106_0.01,RBD,18.99068226
pRH106_0.001,RBD,22.06171962
pRH106_0.0001,RBD,23.12934216
pRH106,S2,12.97811152
pRH107,S2,13.0878879
pRH108,S2,12.99554677
pRH112,S2,13.86861931
pRH106_0.1,S2,16.0363571
pRH106_0.01,S2,19.11887466
pRH106_0.001,S2,22.68334125
pRH106_0.0001,S2,24.9998746
pRH106,S2,13.15240445
pRH107,S2,13.02442567
pRH108,S2,12.92851388
pRH112,S2,13.97905266
pRH106_0.1,S2,15.91085017
pRH106_0.01,S2,19.42513521
pRH106_0.001,S2,22.4595373
pRH106_0.0001,S2,20.83100897
pRH106,S2,13.09510675
pRH107,S2,12.876429
pRH108,S2,12.78597277
pRH112,S2,14.16220982
pRH106_0.1,S2,16.00018426
pRH106_0.01,S2,19.50222756
pRH106_0.001,S2,22.92741468
pRH106_0.0001,S2,24.73369918
pRH106,mCherry_1,11.72417049
pRH107,mCherry_1,11.29615466
pRH108,mCherry_1,10.83151675
pRH112,mCherry_1,12.2090418
pRH106_0.1,mCherry_1,14.34438052
pRH106_0.01,mCherry_1,17.80238177
pRH106_0.001,mCherry_1,20.14405811
pRH106_0.0001,mCherry_1,23.64102676
pRH106,mCherry_1,11.13094907
pRH107,mCherry_1,11.2133811
pRH108,mCherry_1,11.20775376
pRH112,mCherry_1,12.08325411
pRH106_0.1,mCherry_1,14.63756438
pRH106_0.01,mCherry_1,17.85699414
pRH106_0.001,mCherry_1,20.73927752
pRH106_0.0001,mCherry_1,24.41822139
pRH106,mCherry_1,11.54776599
pRH107,mCherry_1,11.23350555
pRH108,mCherry_1,11.30050822
pRH112,mCherry_1,11.62636536
pRH106_0.1,mCherry_1,14.44319212
pRH106_0.01,mCherry_1,18.05842332
pRH106_0.001,mCherry_1,21.81854549
pRH106_0.0001,mCherry_1,24.2854563
pRH106,mCherry_2,12.27734674
pRH107,mCherry_2,12.17486681
pRH108,mCherry_2,12.54889102
pRH112,mCherry_2,13.57141337
pRH106_0.1,mCherry_2,15.8159808
pRH106_0.01,mCherry_2,18.88978182
pRH106_0.001,mCherry_2,21.97341401
pRH106_0.0001,mCherry_2,25.01650885
pRH106,mCherry_2,11.95902813
pRH107,mCherry_2,12.72778689
pRH108,mCherry_2,12.33508943
pRH112,mCherry_2,13.40167738
pRH106_0.1,mCherry_2,15.58106771
pRH106_0.01,mCherry_2,18.99636294
pRH106_0.001,mCherry_2,22.07417948
pRH106_0.0001,mCherry_2,25.2567619
pRH106,mCherry_2,12.50821437
pRH107,mCherry_2,12.31449082
pRH108,mCherry_2,12.33301324
pRH112,mCherry_2,13.44353233
pRH106_0.1,mCherry_2,15.69252057
pRH106_0.01,mCherry_2,18.77999427
pRH106_0.001,mCherry_2,22.35899708
pRH106_0.0001,mCherry_2,25.45056101
