Experiment Name,Specimen Name,Well Name,Record Date,$OP,GUID,All Events #Events,All Events %Parent,All Events 585/15 YG E-A Min,All Events 585/15 YG E-A Max,All Events 585/15 YG E-A Mean,All Events 585/15 YG E-A Median,All Events 585/15 YG E-A SD,whole population #Events,whole population %Parent,whole population 585/15 YG E-A Min,whole population 585/15 YG E-A Max,whole population 585/15 YG E-A Mean,whole population 585/15 YG E-A Median,whole population 585/15 YG E-A SD,singlet #Events,singlet %Parent,singlet 585/15 YG E-A Min,singlet 585/15 YG E-A Max,singlet 585/15 YG E-A Mean,singlet 585/15 YG E-A Median,singlet 585/15 YG E-A SD,FITC #Events,FITC %Parent,FITC 585/15 YG E-A Min,FITC 585/15 YG E-A Max,FITC 585/15 YG E-A Mean,FITC 585/15 YG E-A Median,FITC 585/15 YG E-A SD,NOT(whole population) #Events,NOT(whole population) %Parent,NOT(whole population) 585/15 YG E-A Min,NOT(whole population) 585/15 YG E-A Max,NOT(whole population) 585/15 YG E-A Mean,NOT(whole population) 585/15 YG E-A Median,NOT(whole population) 585/15 YG E-A SD,PE #Events,PE %Parent,PE 585/15 YG E-A Min,PE 585/15 YG E-A Max,PE 585/15 YG E-A Mean,PE 585/15 YG E-A Median,PE 585/15 YG E-A SD,mCherry #Events,mCherry %Parent,mCherry 585/15 YG E-A Min,mCherry 585/15 YG E-A Max,mCherry 585/15 YG E-A Mean,mCherry 585/15 YG E-A Median,mCherry 585/15 YG E-A SD
20231214,Specimen_001,A1,"Dec 14, 2023 5:18:24 PM",Phillips ,dee5ecc0-06c6-409c-a9cd-305b725cb66e ,74011,,,,,,,17495,23.6,,,,,,10000,57.2,,,,,,9679,96.8,,,,,,56516,76.4,,,,,,,,,,,,,9543,95.4,,,,,
20231214,Specimen_002,B1,"Dec 14, 2023 5:18:55 PM",Phillips ,26c77920-28f5-472b-824a-12ba9eb09af6 ,52529,,,,,,,16589,31.6,,,,,,10000,60.3,,,,,,9760,97.6,,,,,,35940,68.4,,,,,,,,,,,,,9549,95.5,,,,,
20231214,Specimen_003,C1,"Dec 14, 2023 5:24:55 PM",Phillips ,80104a02-4f81-45d7-a287-185a4e3f82cb ,491,,,,,,,9,1.8,,,,,,7,77.8,,,,,,1,14.3,,,,,,482,98.2,,,,,,,,,,,,,3,42.9,,,,,
20231214,Specimen_004,D1,"Dec 14, 2023 5:31:55 PM",Phillips ,68fd3a47-af7b-41d5-a3ae-7a8f64983f5c ,1,,,,,,,0,0.0,,,,,,0,,,,,,,0,,,,,,,1,100.0,,,,,,,,,,,,,0,,,,,,
20231214,Specimen_005,E1,"Dec 14, 2023 5:31:17 PM",Phillips ,e95470b2-80d6-4e59-96fb-343eb17a195d ,48786,,,,,,,16093,33.0,,,,,,10000,62.1,,,,,,1252,12.5,,,,,,32693,67.0,,,,,,,,,,,,,8278,82.8,,,,,
20231214,Specimen_006,F1,"Dec 14, 2023 5:33:19 PM",Phillips ,db58b59c-0efb-46be-b3e9-dd857c8c7b07 ,52994,,,,,,,16511,31.2,,,,,,10000,60.6,,,,,,1411,14.1,,,,,,36483,68.8,,,,,,,,,,,,,8320,83.2,,,,,
20231214,Specimen_007,G1,"Dec 14, 2023 5:33:53 PM",Phillips ,f9f8b1e1-95b5-4e01-b440-10480b5e28de ,55507,,,,,,,17644,31.8,,,,,,10000,56.7,,,,,,1834,18.3,,,,,,37863,68.2,,,,,,,,,,,,,8481,84.8,,,,,
20231214,Specimen_008,H1,"Dec 14, 2023 5:34:19 PM",Phillips ,0ebf0bc6-c383-4d12-9e61-438d29d7e192 ,42536,,,,,,,16678,39.2,,,,,,10000,60.0,,,,,,1335,13.4,,,,,,25858,60.8,,,,,,,,,,,,,8357,83.6,,,,,
20231214,Specimen_009,A2,"Dec 14, 2023 5:34:53 PM",Phillips ,7feb25bb-f3bb-481b-9a91-aa8cf4f7cc4c ,47166,,,,,,,17187,36.4,,,,,,10000,58.2,,,,,,5174,51.7,,,,,,29979,63.6,,,,,,,,,,,,,8823,88.2,,,,,
20231214,Specimen_010,B2,"Dec 14, 2023 5:35:36 PM",Phillips ,9f9f7144-967e-41d1-92c9-880552ab5224 ,52873,,,,,,,17191,32.5,,,,,,10000,58.2,,,,,,5202,52.0,,,,,,35682,67.5,,,,,,,,,,,,,8849,88.5,,,,,
20231214,Specimen_011,C2,"Dec 14, 2023 5:35:58 PM",Phillips ,547e75bb-0b5a-4aea-8409-1d713c8e5dcf ,56228,,,,,,,17572,31.3,,,,,,10000,56.9,,,,,,5272,52.7,,,,,,38656,68.7,,,,,,,,,,,,,8714,87.1,,,,,
20231214,Specimen_012,D2,"Dec 14, 2023 5:36:21 PM",Phillips ,396b80cf-39c9-4270-8ebd-3e06a9b39c85 ,45319,,,,,,,17234,38.0,,,,,,10000,58.0,,,,,,4990,49.9,,,,,,28085,62.0,,,,,,,,,,,,,8749,87.5,,,,,
20231214,Specimen_013,E2,"Dec 14, 2023 5:36:50 PM",Phillips ,32864cae-57fb-43a9-937c-4a43666c6ed0 ,44916,,,,,,,14981,33.4,,,,,,10000,66.8,,,,,,396,4.0,,,,,,29935,66.6,,,,,,,,,,,,,9662,96.6,,,,,
20231214,Specimen_014,F2,"Dec 14, 2023 5:37:22 PM",Phillips ,25f332d1-20fe-45a6-bdc2-2d0c74bcbdbf ,48441,,,,,,,14706,30.4,,,,,,10000,68.0,,,,,,374,3.7,,,,,,33735,69.6,,,,,,,,,,,,,9689,96.9,,,,,
20231214,Specimen_015,G2,"Dec 14, 2023 5:38:18 PM",Phillips ,cae09b7b-a0cd-407a-830e-bfe39080d5c4 ,43082,,,,,,,12069,28.0,,,,,,10000,82.9,,,,,,7,0.1,,,,,,31013,72.0,,,,,,,,,,,,,9918,99.2,,,,,
20231214,Specimen_016,H2,"Dec 14, 2023 5:40:30 PM",Phillips ,ddf9212c-c5a6-4629-a4b1-d634f2e76b54 ,37850,,,,,,,11097,29.3,,,,,,9596,86.5,,,,,,11,0.1,,,,,,26753,70.7,,,,,,,,,,,,,9527,99.3,,,,,
20231214,Specimen_017,A3,"Dec 14, 2023 5:41:05 PM",Phillips ,547774b2-fa58-44b2-b732-fabe21fb967b ,36509,,,,,,,12950,35.5,,,,,,10000,77.2,,,,,,8,0.1,,,,,,23559,64.5,,,,,,,,,,,,,8015,80.2,,,,,
20231214,Specimen_018,B3,"Dec 14, 2023 5:41:50 PM",Phillips ,c13764e9-a4a6-40b3-9ded-975c92720f3c ,42383,,,,,,,14443,34.1,,,,,,10000,69.2,,,,,,12,0.1,,,,,,27940,65.9,,,,,,,,,,,,,8282,82.8,,,,,
20231214,Specimen_019,C3,"Dec 14, 2023 5:42:12 PM",Phillips ,09ca5465-6064-4a0f-91ee-012e36c7be01 ,40313,,,,,,,11564,28.7,,,,,,10000,86.5,,,,,,2,0.0,,,,,,28749,71.3,,,,,,,,,,,,,8016,80.2,,,,,
